project_id,requirement_id,requirement_title,family_id,event_count,ambiguous_count,defer_count,implementation_claim_count,introduce_count,modify_count,remove_count,resume_count,runtime_failure_count,runtime_verification_count
35648772,REQ_TEST_ARTICLE_EDITORIAL_REVISION,Test Article Editorial Revision,TEST_ARTICLE_REQUIREMENTS,3,0,0,1,1,0,0,0,0,1
35648772,REQ_TEST_ARTICLE_WORD_COUNT,Test Article Word-Count Guideline,TEST_ARTICLE_REQUIREMENTS,1,0,0,0,1,0,0,0,0,0
35648772,REQ_COMPRESSION_SPRINGS_LANDING_PAGE_COPY,Compression Springs Landing-Page Copy Update,,2,0,0,0,1,1,0,0,0,0
37823726,REQ_PER_LEVEL_QUESTION_SET,Reviewable Questions for Each Level,LEVEL_CONTENT_DESIGN,2,0,0,0,1,1,0,0,0,0
37823726,REQ_GRADE_CURRICULUM_ALIGNMENT,Grade-Appropriate Curriculum Alignment,LEVEL_CONTENT_DESIGN,3,1,0,0,1,1,0,0,0,0
37823726,REQ_LEVEL_PROGRESSION,Gradual Level Progression,LEVEL_CONTENT_DESIGN,2,0,0,0,1,1,0,0,0,0
37823726,REQ_SORTING_ACTIVITY_CONTENT,Sorting Activity Exercise Content,LEVEL_CONTENT_DESIGN,1,0,0,0,1,0,0,0,0,0
37823726,REQ_QUESTION_LEVEL_ASSIGNMENT,Question Assignment Across Applicable Levels,LEVEL_CONTENT_DESIGN,1,0,0,0,1,0,0,0,0,0
37823726,REQ_LEVEL_OBJECT_REPRESENTATION,Distinct Visual Object Representation per Level,LEVEL_CONTENT_DESIGN,5,0,0,0,1,4,0,0,0,0
37823726,REQ_LEVEL_OBJECTIVES,Level Objectives,LEVEL_CONTENT_DESIGN,1,0,0,1,0,0,0,0,0,0
37823726,REQ_GAMEPLAY_ACTIVITY_DESCRIPTIONS,Gameplay Activity Descriptions,LEVEL_CONTENT_DESIGN,1,0,0,1,0,0,0,0,0,0
37823726,REQ_ALL_GRADE_SPACE_STATION_CONTENT,Space Station Content Across All Intended Grades,LEVEL_CONTENT_DESIGN,1,0,0,0,1,0,0,0,0,0
37823726,REQ_AI_CONTENT_GENERATION_PROMPT,Reusable AI Content-Generation Prompt,CONTENT_AUTOMATION,4,1,0,0,1,2,0,0,0,0
37823726,REQ_CONSTRAINED_CSHARP_RANDOM_GENERATOR,Constraint-Compliant C# Random Generator,CONTENT_AUTOMATION,1,0,1,0,0,0,0,0,0,0
37923084,REQ_HUBSPOT_CRM_CONFIGURATION,HubSpot CRM Configuration,PLATFORM_CONFIGURATION,0,0,0,0,0,0,0,0,0,0
37923084,REQ_APOLLO_PLATFORM_CONFIGURATION,Apollo Platform Configuration,PLATFORM_CONFIGURATION,0,0,0,0,0,0,0,0,0,0
37923084,REQ_MEETALFRED_PLATFORM_CONFIGURATION,MeetAlfred Platform Configuration,PLATFORM_CONFIGURATION,4,1,0,0,1,1,0,1,0,0
37923084,REQ_ZAPIER_PLATFORM_CONFIGURATION,Zapier Platform Configuration,PLATFORM_CONFIGURATION,2,0,0,0,1,1,0,0,0,0
37923084,REQ_LINKEDIN_TO_HUBSPOT_LEAD_TRANSFER,LinkedIn-to-HubSpot Lead Transfer,LEAD_DATA_PIPELINE,7,0,1,1,1,1,0,1,1,1
37923084,REQ_APOLLO_CONTACT_ENRICHMENT,Apollo Contact Enrichment,LEAD_DATA_PIPELINE,2,0,0,0,0,1,0,0,0,1
37923084,REQ_HUBSPOT_TO_MEETALFRED_LEAD_SYNC,HubSpot-to-MeetAlfred Lead Synchronization,LEAD_DATA_PIPELINE,9,0,1,0,1,2,0,1,3,1
37923084,REQ_CRM_DUPLICATE_VISIBILITY,CRM Duplicate Visibility,LEAD_DATA_PIPELINE,2,1,0,0,1,0,0,0,0,0
37923084,REQ_LINKEDIN_PROFILE_URL_IN_CRM,LinkedIn Profile URL in CRM,LEAD_DATA_PIPELINE,1,1,0,0,0,0,0,0,0,0
37923084,REQ_MEETALFRED_LINKEDIN_CAMPAIGN_AUTOMATION,Automated LinkedIn Campaigns,MEETALFRED_CAMPAIGNS,0,0,0,0,0,0,0,0,0,0
37923084,REQ_MEETALFRED_EMAIL_CAMPAIGN_AUTOMATION,Automated Email Campaigns,MEETALFRED_CAMPAIGNS,0,0,0,0,0,0,0,0,0,0
37923084,REQ_SILENT_LEAD_FOLLOWUP_AUTOMATION,Silent-Lead Follow-Up Automation,MEETALFRED_CAMPAIGNS,1,0,0,0,1,0,0,0,0,0
37923084,REQ_MEETALFRED_NEW_CAMPAIGN_WORKFLOW,New MeetAlfred Campaign Workflow,MEETALFRED_CAMPAIGNS,4,0,0,0,1,1,0,0,1,1
